text,label
L’entreprise annonce des bénéfices trimestriels records,0
La bourse monte suite à des données d’inflation favorables,0
Fusion majeure annoncée entre deux géants technologiques,0
La banque centrale baisse les taux d’intérêt,0
Les prix du pétrole grimpent avec les perturbations d’approvisionnement,0
La finale du championnat attire un large public télévisé,1
L’athlète vedette signe un contrat record,1
L’équipe locale se qualifie après une victoire éclatante,1
Le joueur recrue bat un record de longue date,1
Le nouveau stade est terminé en avance sur le calendrier,1
Percée en intelligence artificielle annoncée par l’équipe de recherche,2
Le nouveau smartphone présente une technologie révolutionnaire,2
Augmentation des attaques de rançongiciels signalée,2
Les ventes de véhicules électriques atteignent un nouveau record,2
La mise à jour corrige des vulnérabilités critiques,2
Le gouvernement annonce une nouvelle réforme de santé,3
Les résultats électoraux montrent une participation surprenante,3
Le sommet international aborde les politiques climatiques,3
Le débat parlementaire se concentre sur la relance économique,3
Les tensions diplomatiques s’apaisent après des négociations,3
