text,label,lang,id
A new funding tool - Crowdfunding,Business & Management,English,Turkey-5527
Industry Collaborative Cloud Market – a young but fast growing market,Technology,English,Global-13686
Technology & Digital Insurance,Technology,English,Greece-10473
Audit & Assurance,Tax & Accounting,English,Greece-11059
Industry findings: Public sector,Government & Controls,English,Turkey-5456
Mergers & Acquisitions,Finance,English,Israel-4132
"IFRS news, October 2018",Tax & Accounting,English,Greece-10761
The digital transformation,Technology,English,Spain-22
PwC rated as a leader in business transformation,Business & Management,English,Global-13707
Global Entertainment & Media Outlook 2019–2023,Industry,English,Turkey-5675
Global CEO Survey,Business & Management,English,Turkey-5933
Public Sector SAPwC | Privacy notice,Government & Controls,English,Italy-4633
PwC’s Financial Crime Unit plans to employ 300 more staff in the next two years,Government & Controls,English,Poland-556
Careers,Business & Management,English,Finland-2879
"Digitisation and autonomous driving to halve costs by 2030, finds PwC Truck Study",Technology,English,Global-14021
Corporate acquisitions - Tax services,Finance,English,Finland-3170
Working Capital Report 2017/18: Pressure in the system,Tax & Accounting,English,Turkey-5223
Forensic Services,Government & Controls,English,Israel-3931
SOX and internal control,Government & Controls,English,Israel-3959
Deal summary Kaslink Oy,Finance,English,Finland-3060
ESG dreams come true | PwC,Business & Management,English,Poland-401
PwC wraps up the first stage of the Business Book of the Year in Russia competition and announces the start of jury deliberations,Industry,English,Russia-11441
Transfer Pricing,Tax & Accounting,English,Greece-11254
Deals,Finance,English,Finland-2984
Get more than an accountant,Tax & Accounting,English,Spain-2676
Tax and legal news 12 January 2017,Tax & Accounting,English,Finland-3148
Data and analytics,Technology,English,Spain-1096
"Tax and legal news, January 2020",Tax & Accounting,English,Finland-3216
PwC Greece is an accredited verifier for EU Monitoring Reporting and Verification (EU MRV) for Shipping companies,Industry,English,Greece-10536
"PwC commits to net zero by 2030, globally",Business & Management,English,Russia-11506
ERP services,Technology,English,Turkey-5469
Tax transformation in the time of digitization | PwC,Tax & Accounting,English,Poland-508
Women in Work Index 2019,Business & Management,English,Spain-1512
Finnish Mobility Survey 2015,Business & Management,English,Finland-3418
What are the opportunities to embrace new ways of working throughout the COVID-19 pandemic? - Ben Hamer,Business & Management,English,Greece-10412
"PwC named a Leader for Healthcare Analytics, Q4 2018",Industry,English,Global-13744
2021 Global Digital Trust Insights,Technology,English,Spain-1848
Insurance Banana Skins 2019,Finance,English,Turkey-5771
Internal Audit Functions Need to Disrupt Themselves,Tax & Accounting,English,Global-13963
Structural Funds Related Products (ΕΣΠΑ),Finance,English,Greece-10487
Finland intends to extend travel restrictions until May 13,Government & Controls,English,Finland-3196
Deal Analytics,Finance,English,Turkey-5222
Tax and legal news 16 June 2017,Tax & Accounting,English,Finland-3244
PwC's Global Consumer Insights Survey 2020,Industry,English,Spain-1975
PwC’s 2018 Global Economic Crime and Fraud Survey,Government & Controls,English,Turkey-5298
Deal summary OFI InfraVia / Outokumpu Oyj,Finance,English,Finland-3570
Customer experience,Industry,English,Poland-926
Transactions services,Finance,English,Spain-1034
Startups and emerging companies,Business & Management,English,Italy-5084
Corporate treasury management services contact form,Tax & Accounting,English,Turkey-5483
"Telecommunications, Media and Technology Industry",Technology,English,Greece-10711
Innovation and identity: Hobbs House Bakery,Business & Management,English,Greece-11175
Customer experience | PwC,Industry,English,Poland-395
Corporate governance services,Government & Controls,English,Turkey-5488
Real Estate,Industry,English,Spain-2465
Digital Transformation in Shipping Operations: From planned to predictive,Industry,English,Greece-10690
PwC named a leader in Communications and Change Management Consulting 2019,Business & Management,English,Global-13812
‘The importance of harmony’: Family values in Malaysia: Global Family Business Survey 2016: PwC,Business & Management,English,Greece-11086
PwC’s 2015 Annual Corporate Directors Survey,Business & Management,English,Spain-1694
"Digital Law, GDPR Advice and Support",Government & Controls,English,Greece-11241
Shipping - Assurance & Market Reporting,Industry,English,Greece-11064
Brexit update - Social Security and the validity of A1 certificates,Government & Controls,English,Finland-3182
Young Workers Index 2016,Business & Management,English,Greece-11040
Emerging Entertainment and Media segments show the importance of user experience,Industry,English,Global-13948
Managing risk & compliance,Government & Controls,English,Turkey-5431
Extension of tax exemption for foreign-sourced income,Tax & Accounting,English,Turkey-5536
Tax and legal news 28 January 2016,Tax & Accounting,English,Finland-3258
Tax and legal news October 2019 October 2019 October 2019 October 2019,Tax & Accounting,English,Finland-3278
Time to talk: what has to change for women',Business & Management,English,Denmark-13591
Integration of EU financial sector - capital & liquidity waiver,Finance,English,Poland-409
The new VAT rate matrix | PwC,Tax & Accounting,English,Poland-511
Private Equity,Finance,English,Italy-4779
PwC is distinguished for strategic risk management services,Government & Controls,English,Global-13738
Identity and Access Management,Technology,English,Turkey-5401
Rationalising your corporate structure,Business & Management,English,Italy-5031
Tax Flash February 2015,Tax & Accounting,English,Greece-10886
Energy,Industry,English,Israel-4034
The family tree: Growing a logging business in New Zealand,Business & Management,English,Greece-11183
New Draft Law on Financial Restructuring,Finance,English,Turkey-5828
COSO Enterprise Risk Management–Integrating with Strategy and Performance,Business & Management,English,Italy-4994
Business Restructuring Services,Finance,English,Turkey-5213
The main tax provisions of the draft bag law,Tax & Accounting,English,Turkey-5560
Dual Approach Process Begins for Financial Restructuring Framework Agreement,Finance,English,Turkey-5824
Statistical Analysis with MS Excel,Technology,English,Greece-9966
Global Power & Utilities Survey,Industry,English,Finland-3437
Process Intelligence | Do you really know your processes?,Technology,English,Turkey-5477
Innovation Survey,Business & Management,English,Italy-4692
COVID-19 Private Sector Global Facility announced at SDG Business Forum,Business & Management,English,Global-14151
Step 3: Scaleup,Business & Management,English,Italy-5087
Transportation and Logistics publications,Industry,English,Greece-11056
Solvency II,Finance,English,Israel-4236
WorldWide Tax Summaries 2017/18,Tax & Accounting,English,Spain-1731
Cybercrime Survey 2017,Technology,English,Denmark-13408
Workforce of the future: The Red World in 2030,Business & Management,English,Turkey-5442
Entertainment Media & Communications,Industry,English,Israel-4036
Asset and wealth management,Finance,English,Turkey-5796
"Governance, Risk & Compliance (GRC)",Government & Controls,English,Finland-3768
The female millennial: A new era of talent,Business & Management,English,Finland-3444
Tax reporting & compliance,Tax & Accounting,English,Turkey-5579
AML Transaction Monitoring Overview: Perspective of 2019 and onwards - challenges and trends,Government & Controls,English,Poland-367
