text,label
Dieses Produkt ist schrecklich und nach einem Tag kaputt,0
Schlechtester Kauf, komplette Geldverschwendung,0
Schlechte Qualität, würde niemandem empfehlen,0
Enttäuscht vom Service und der Produktqualität,0
Defekter Artikel, fordere sofortige Rückerstattung,0
Das Produkt funktioniert wie beschrieben, nichts Besonderes,1
Durchschnittliche Qualität für den Preis,1
Ordentlicher Artikel, aber verbesserungsfähig,1
Produkt ist okay, erfüllt seinen Grundzweck,1
Standardqualität, erfüllt Grundanforderungen,1
Exzellentes Produkt, hat meine Erwartungen übertroffen,2
Hervorragende Qualität und schnelle Lieferung,2
Empfehle dies wärmstens allen weiter,2
Perfekter Artikel, genau was ich gesucht habe,2
Fantastisches Preis-Leistungs-Verhältnis, sehr zufrieden,2
