text,label
Unternehmen meldet Rekordgewinne im Quartal,0
Aktienmärkte steigen nach günstigen Inflationsdaten,0
Große Fusion zwischen zwei Technologieriesen angekündigt,0
Zentralbank senkt Zinssätze zur Wirtschaftsförderung,0
Ölpreise steigen aufgrund von Lieferkettenstörungen,0
Meisterschaftsfinale zieht weltweites Fernsehpublikum an,1
Star-Athlet unterschreibt rekordverdächtigen Vertrag,1
Lokales Team erreicht Playoffs nach überraschendem Sieg,1
Rookie-Spieler bricht langjährigen Liga-Rekord,1
Neuer Stadionbau wird vor dem Zeitplan fertiggestellt,1
Durchbruch in künstlicher Intelligenz vom Forschungsteam,2
Neues Smartphone mit revolutionärer Kameratechnologie,2
Cybersicherheitsfirma meldet Zunahme von Ransomware-Angriffen,2
Elektrofahrzeug-Verkäufe erreichen neuen Meilenstein,2
Software-Update behebt kritische Sicherheitslücken,2
Regierung kündigt neue Gesundheitsreform an,3
Wahlergebnisse zeigen überraschende Wahlbeteiligung,3
Internationaler Gipfel behandelt Klimaschutzpolitik,3
Parlamentsdebatte fokussiert sich auf Konjunkturmaßnahmen,3
Diplomatische Spannungen lassen nach erfolgreichen Verhandlungen nach,3
