text,label
Ce produit est terrible et s’est cassé après un jour,0
Pire achat jamais fait, perte totale d’argent,0
Qualité médiocre, ne recommande à personne,0
Déçu du service et de la qualité du produit,0
Article défectueux, demande remboursement immédiat,0
Le produit fonctionne comme décrit, rien d’exceptionnel,1
Qualité moyenne pour ce prix,1
Article correct mais pourrait être amélioré,1
Le produit est correct, remplit son rôle de base,1
Qualité standard, répond aux exigences de base,1
Excellent produit, a dépassé mes attentes,2
Qualité exceptionnelle et livraison rapide,2
Recommande vivement à tout le monde,2
Article parfait, exactement ce que je cherchais,2
Excellent rapport qualité-prix, très satisfait,2
