text,label
This product is terrible and broke after one day,0
Worst purchase ever, complete waste of money,0
Poor quality, would not recommend to anyone,0
Disappointed with the service and product quality,0
Defective item, requesting immediate refund,0
The product works as described, nothing special,1
Average quality for the price point,1
Decent item but could be improved,1
Product is okay, serves its basic purpose,1
Standard quality, meets basic requirements,1
Excellent product, exceeded my expectations completely,2
Outstanding quality and fast delivery service,2
Highly recommend this to everyone,2
Perfect item, exactly what I was looking for,2
Amazing value for money, very satisfied,2
